"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈"
"2020100000","2020年度","01100","北海道 札幌市","","1,973,395",""
"2020100000","2020年度","01101","北海道 札幌市 中央区","","248,680",""
"2020100000","2020年度","01102","北海道 札幌市 北区","","289,323",""
"2020100000","2020年度","01103","北海道 札幌市 東区","","265,379",""
"2020100000","2020年度","01104","北海道 札幌市 白石区","","211,835",""
"2020100000","2020年度","01105","北海道 札幌市 豊平区","","225,298",""
"2020100000","2020年度","01106","北海道 札幌市 南区","","135,777",""
"2020100000","2020年度","01107","北海道 札幌市 西区","","217,040",""
"2020100000","2020年度","01108","北海道 札幌市 厚別区","","125,083",""
"2020100000","2020年度","01109","北海道 札幌市 手稲区","","142,625",""
"2020100000","2020年度","01110","北海道 札幌市 清田区","","112,355",""
"2020100000","2020年度","01202","北海道 函館市","","251,084",""
"2020100000","2020年度","01203","北海道 小樽市","","111,299",""
"2020100000","2020年度","01204","北海道 旭川市","","329,306",""
"2020100000","2020年度","01205","北海道 室蘭市","","82,383",""
"2020100000","2020年度","01206","北海道 釧路市","","165,077",""
"2020100000","2020年度","01207","北海道 帯広市","","166,536",""
"2020100000","2020年度","01208","北海道 北見市","","115,480",""
"2020100000","2020年度","01209","北海道 夕張市","","7,334",""
"2020100000","2020年度","01210","北海道 岩見沢市","","79,306",""
"2020100000","2020年度","01211","北海道 網走市","","35,759",""
"2020100000","2020年度","01212","北海道 留萌市","","20,114",""
"2020100000","2020年度","01213","北海道 苫小牧市","","170,113",""
"2020100000","2020年度","01214","北海道 稚内市","","33,563",""
"2020100000","2020年度","01215","北海道 美唄市","","20,413",""
"2020100000","2020年度","01216","北海道 芦別市","","12,555",""
"2020100000","2020年度","01217","北海道 江別市","","121,056",""
"2020100000","2020年度","01218","北海道 赤平市","","9,698",""
"2020100000","2020年度","01219","北海道 紋別市","","21,215",""
"2020100000","2020年度","01220","北海道 士別市","","17,858",""
"2020100000","2020年度","01221","北海道 名寄市","","27,282",""
"2020100000","2020年度","01222","北海道 三笠市","","8,040",""
"2020100000","2020年度","01223","北海道 根室市","","24,636",""
"2020100000","2020年度","01224","北海道 千歳市","","97,950",""
